what,kind,bundleId,bundleVersion,description,time
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336917867575
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336917867695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336917874808
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1336917877011
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1336917883359
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1336917883437
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1336917883464
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1336917883520
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1336917883901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336917884325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336917889329
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1336917889350
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1336917894638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336917901930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336917908595
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1336917944449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336917944529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336917946244
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1336917996708
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336918059192
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1336918059339
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336918059342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336918072247
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.textStart",1336918072388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918072705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1336918072732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336918072884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918076826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336918080771
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1336918081805
error,log,,,"Unable to create editor ID org.eclipse.wst.html.core.htmlsource.source: The file does not exist.",1336918081898
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1336918082166
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1336918082185
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1336918082236
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1336918084585
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1336918086905
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1336918086908
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1336918089548
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1336918090315
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1336918090925
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1336918090995
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1336918091210
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1336918091291
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1336918091353
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1336918094821
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1336918094852
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1336918094853
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1336918095008
started,bundle,org.eclipse.mylyn.context.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.ui",1336918095047
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.6.0.v20120319-0200,"org.eclipse.mylyn.wikitext.tasks.ui",1336918096097
started,bundle,org.eclipse.mylyn.wikitext.ui,1.6.0.v20120319-0200,"org.eclipse.mylyn.wikitext.ui",1336918096151
started,bundle,org.eclipse.mylyn.wikitext.core,1.6.0.v20120319-0200,"org.eclipse.mylyn.wikitext.core",1336918096397
started,bundle,org.eclipse.mylyn.java.tasks,3.7.0.v20120319-0200,"org.eclipse.mylyn.java.tasks",1336918097287
opened,editor,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.editors.task",1336918097404
activated,editor,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.editors.task",1336918097970
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1336918099811
closed,editor,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.editors.task",1336918099811
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1336918109399
activated,view,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1336918112557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918127415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918138279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918167726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918174089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918181726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918188452
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1336918200975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918202015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1336918202047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336918202184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918203600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336918213621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918219618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918290010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336918291645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918292328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918335225
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1336918337630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918374046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918435434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918439271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918513886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336918517759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919274760
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1336919278371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919286281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919310425
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1336919310984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919314632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919392386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919398905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919400256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919401708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919405250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919414573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919426354
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1336919430714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336919444013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336919444609
